e_cis;velikost;kraj;okres;mesto;ul_cis;ul_cis1;ul_cisn;vgs84_n;vgs84_eo
40812;24;Bratislava;Bratislava 4;Bratislava 4-DNV;cesta Volkswagen DNV-BA,O;Metro,smc,3 Kaufland,HornbachOC Bory Mall;;48.207076;17.016037
40813;24;Bratislava;Bratislava 4;Bratislava 4-DNV;cesta BA-Volkswagen DNV,O;sm VW/Stupava,Metro,Ľ,4 Kaufland,areál Galloper,Hornbach,OC Bory Mall;;48.207909;17.01529
40814;24;Bratislava;Bratislava 4;Bratislava 4-DNV;cesta Volkswagen DNV-BA,O;Metro,smc,4 Kaufland,Hornbach, OC Bory Mall;;48.207909;17.01529
40826;24;Bratislava;Bratislava 4;Bratislava 4-Karlova Ves;Botanická/oplot.záhrady,J;inter.Družba,Slovnaft,sm.centr1,Lidl,Prírodoved.fakulta UK,ČS Shell;;48.148066;17.066331
40827;24;Bratislava;Bratislava 4;Bratislava 4-Karlova Ves;Botanická/oplot.záhrady,J;inter.Družba,Slovnaft,sm.cent2 Lidl,Prírodoved.fakulta UK,ČS Shell;;48.147939;17.066333
40831;24;Bratislava;Bratislava 4;Bratislava 4-DNV;Eisnerova;oplot.RD,kostol,smc,1 základná škola,TERNO potraviny;;48.205751;16.977202
40832;24;Bratislava;Bratislava 4;Bratislava 4-DNV;Eisnerova;oplot.RD,kostol,smc,2 základná škola,TERNO potraviny;;48.205749;16.97734
40838;24;Bratislava;Bratislava 4;Bratislava 4-Dúbravka;Harmincova,oproti AUDI,J;príj.od Lamača,sm Dúbravka,1 Kaufland,zimný štadion,STK,veterin.poliklinika;;48.178827;17.05574
40839;24;Bratislava;Bratislava 4;Bratislava 4-Dúbravka;Harmincova,oproti AUDI,J;príj.od Lamača,sm Dúbravka,2 Kaufland,zimný štadion,STK,veterin.poliklinika;;48.178891;17.055662
40840;24;Bratislava;Bratislava 4;Bratislava 4-Dúbravka;Harmincova,oproti AUDI,J;príj.od Lamača,sm Dúbravka,3 Kaufland,zimný štadion,STK,veterin.poliklinika;;48.178959;17.055578
40841;24;Bratislava;Bratislava 4;Bratislava 4-Dúbravka;Harmincova,J;príj.od Lamača,sm Sitina zimný štadion,STK,pekáreň,veterin.poliklinika;;48.179022;17.055381
40846;24;Bratislava;Bratislava 4;Bratislava 4-DNV;cesta BA-DNV,J;za areálom Galloper,smer DNV,1 Metro, Volkswagen,reštaurácia, ranč,Hornbach;;48.207734;16.989693
40847;24;Bratislava;Bratislava 4;Bratislava 4-DNV;cesta BA-DNV,O;za areálom Galloper,sm.mesto,Ľ Metro, Volkswagen,reštaurácia, ranč,Hornbach;;48.207453;16.992622
40848;24;Bratislava;Bratislava 4;Bratislava 4-DNV;cesta BA-DNV,O;za areálom Galloper,smer DNV,2 Metro, Volkswagen,reštaurácia, ranč;;48.207453;16.992622
40849;24;Bratislava;Bratislava 4;Bratislava 4-DNV;cesta DNV-Devín,O;pri Sandbergu,smc,Ľ Devínska Kobyla,cyklocesta, zastávka MHD;;48.204155;16.970536
40850;24;Bratislava;Bratislava 4;Bratislava 4-DNV;cesta DNV-Devín,O;pri Sandbergu,sm DNV Devínska Kobyla,cyklocesta, zastávka MHD;;48.204158;16.970627
40858;24;Bratislava;Bratislava 4;Bratislava 4-Dúbravka;Trhová;trhovisko,Dom kultúry Dúbravka Gymnázium,Okresný súd;;48.187214;17.039122
40859;24;Bratislava;Bratislava 3;Bratislava 3-Nové Mesto;Šancová/Kukučínova,E-571;hlav.ťah mestom,tržnica,šikmý, Istropolis,Železničná poliklinika, zastávky MHD;;48.158244;17.125535
